Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Control of Corruption: Percentile Rank,CC.PER.RNK,Bhutan,BTN,NA,NA,NA,NA,NA,NA,81.18279266,NA,81.28342438,NA,71.27659607,NA,70.89946747,82.01058197,80.78817749,79.02439117,77.56097412,78.1553421,78.64077759,79.42583466,79.52381134,77.25118256,79.14691925,79.14691925,88.46154022,80.95237732,81.42857361,90.95237732,91.42857361,91.42857361,93.33333588,90.47618866,90.09433746
Control of Corruption: Percentile Rank,CC.PER.RNK,Bolivia,BOL,NA,NA,NA,NA,NA,NA,25.2688179,NA,40.64171219,NA,40.42553329,NA,22.22222137,23.28042412,24.63054276,24.39024353,39.51219559,39.80582428,35.92232895,29.18660355,40,34.12322235,27.48815155,35.0710907,30.28846169,26.66666603,24.2857151,26.66666603,27.61904716,25.7142849,22.38095284,20.47619057,20.75471687
Control of Corruption: Percentile Rank,CC.PER.RNK,Bosnia and Herzegovina,BIH,NA,NA,NA,NA,NA,NA,48.92473221,NA,42.24599075,NA,35.10638428,NA,43.38624191,47.08994675,43.84236526,49.26829147,45.85365677,43.68931961,42.23300934,43.06220245,46.19047546,46.44549942,46.91942978,50.71089935,48.07692337,42.38095093,37.1428566,36.19047546,30.95238113,29.04761887,28.5714283,28.09523773,25.94339561
Control of Corruption: Percentile Rank,CC.PER.RNK,Botswana,BWA,NA,NA,NA,NA,NA,NA,77.4193573,NA,78.07486725,NA,78.19149017,NA,74.6031723,85.18518829,79.80295563,82.92682648,79.02439117,79.61164856,81.06796265,78.94736481,80.95237732,79.62084961,78.1990509,77.72512054,76.92308044,76.66666412,79.52381134,75.7142868,76.19047546,74.2857132,71.42857361,74.76190186,74.05660248
Control of Corruption: Percentile Rank,CC.PER.RNK,Brazil,BRA,NA,NA,NA,NA,NA,NA,56.98924637,NA,56.1497345,NA,57.97872162,NA,58.73015976,59.7883606,54.67980194,51.70731735,53.17073059,54.85437012,57.76699066,56.45933151,60.47618866,63.03317642,56.39810562,54.9763031,44.23077011,40.95238113,39.52381134,35.7142868,38.09523773,40,37.61904907,34.2857132,32.07546997
Control of Corruption: Percentile Rank,CC.PER.RNK,British Virgin Islands,VGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control of Corruption: Percentile Rank,CC.PER.RNK,Brunei Darussalam,BRN,NA,NA,NA,NA,NA,NA,71.50537872,NA,64.70587921,NA,65.42552948,NA,66.13756561,66.13756561,68.96551514,61.46341324,61.95121765,62.13592148,71.35922241,79.9043045,77.61904907,76.7772522,71.09004974,72.51184845,69.71154022,67.61904907,66.66666412,73.33333588,78.57142639,77.61904907,85.7142868,85.23809814,83.96226501
Control of Corruption: Percentile Rank,CC.PER.RNK,Bulgaria,BGR,NA,NA,NA,NA,NA,NA,44.62365723,NA,50.80213928,NA,51.06383133,NA,51.32275009,56.61375809,57.1428566,56.5853653,53.658535,50.97087479,48.54368973,50.71770477,51.90476227,50.23696518,48.81516647,45.97156525,47.59615326,45.23809433,47.61904907,49.52381134,49.04761887,49.52381134,44.2857132,48.09523773,50
Control of Corruption: Percentile Rank,CC.PER.RNK,Burkina Faso,BFA,NA,NA,NA,NA,NA,NA,60.21505356,NA,57.75400925,NA,60.10638428,NA,59.7883606,55.02645493,51.23152542,53.658535,44.87804794,47.57281494,46.11650467,44.97607803,44.2857132,43.12796021,38.3886261,36.4928894,38.94230652,47.61904907,52.38095093,51.90476227,52.8571434,48.57143021,50.47618866,50.47618866,51.88679123
Control of Corruption: Percentile Rank,CC.PER.RNK,Burundi,BDI,NA,NA,NA,NA,NA,NA,30.64516068,NA,32.62031937,NA,26.06382942,NA,29.10052872,21.69312096,16.74876785,18.04878044,12.19512177,9.223300934,13.10679626,11.48325348,11.4285717,8.530805588,0.947867274,1.895734549,8.17307663,8.095237732,10,8.571428299,5.238095284,4.761904716,3.809523821,2.857142925,4.245283127
Control of Corruption: Percentile Rank,CC.PER.RNK,Cabo Verde,CPV,NA,NA,NA,NA,NA,NA,83.33333588,NA,83.95722198,NA,84.04255676,NA,71.95767212,70.37036896,66.00984955,71.21951294,77.07317352,77.66990662,78.1553421,77.51196289,78.09523773,78.67298889,77.25118256,77.25118256,79.80769348,79.04762268,78.09523773,79.04762268,78.09523773,79.04762268,79.52381134,82.38095093,81.13207245
Control of Corruption: Percentile Rank,CC.PER.RNK,Cambodia,KHM,NA,NA,NA,NA,NA,NA,16.12903214,NA,19.25133705,NA,18.0851059,NA,17.46031761,14.28571415,14.28571415,10.24390221,7.317073345,10.67961121,5.339805603,9.569377899,6.190476418,5.213270187,13.27014256,12.79620838,11.53846169,11.4285717,9.047618866,9.047618866,8.571428299,9.523809433,10.47619057,11.4285717,9.905660629
Control of Corruption: Percentile Rank,CC.PER.RNK,Cameroon,CMR,NA,NA,NA,NA,NA,NA,3.763440847,NA,3.208556175,NA,2.127659559,NA,5.82010603,14.81481457,11.82266045,11.21951199,13.65853691,16.01941681,15.53398037,17.70335007,14.28571415,11.37440777,7.109004974,9.952606201,10.09615421,12.38095284,11.4285717,10.95238113,11.4285717,10.95238113,12.38095284,13.33333302,13.20754719
Control of Corruption: Percentile Rank,CC.PER.RNK,Canada,CAN,NA,NA,NA,NA,NA,NA,96.23655701,NA,95.18716431,NA,95.21276855,NA,94.17989349,94.17989349,92.1182251,93.65853882,95.60975647,95.14562988,95.63106537,96.65071869,96.19047546,95.26066589,95.26066589,95.26066589,94.71154022,95.23809814,96.19047546,95.7142868,93.80952454,92.85713959,91.90476227,92.38095093,93.39622498
Control of Corruption: Percentile Rank,CC.PER.RNK,Cayman Islands,CYM,NA,NA,NA,NA,NA,NA,87.09677124,NA,89.30480957,NA,88.29787445,NA,87.83068848,88.35978699,86.69950867,88.29268646,88.29268646,88.34951782,77.1844635,83.25358582,83.33333588,88.62559509,88.1516571,89.09952545,81.7307663,80.47618866,66.19047546,66.19047546,66.19047546,66.19047546,64.76190186,66.19047546,66.50943756
Control of Corruption: Percentile Rank,CC.PER.RNK,Central African Republic,CAF,NA,NA,NA,NA,NA,NA,11.2903223,NA,11.76470566,NA,7.978723526,NA,18.51851845,12.16931248,1.970443368,7.804878235,8.292682648,8.252427101,11.65048504,18.18181801,18.09523773,18.00947952,16.587677,12.32227516,11.05769253,7.142857075,8.571428299,11.4285717,10.47619057,10.47619057,9.523809433,10.95238113,8.962264061
Control of Corruption: Percentile Rank,CC.PER.RNK,Chad,TCD,NA,NA,NA,NA,NA,NA,3.225806475,NA,1.604278088,NA,2.659574509,NA,3.703703642,2.645502567,2.955665112,0.975609779,5.365853786,3.398058176,1.45631063,2.392344475,2.380952358,3.791469097,2.369668245,3.317535639,6.25,5.238095284,4.285714149,4.761904716,7.142857075,6.190476418,6.190476418,4.761904716,4.716980934
Control of Corruption: Percentile Rank,CC.PER.RNK,Channel Islands,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control of Corruption: Percentile Rank,CC.PER.RNK,Chile,CHL,NA,NA,NA,NA,NA,NA,90.32257843,NA,86.09626007,NA,91.48936462,NA,90.47618866,83.59788513,87.68473053,91.21951294,91.21951294,89.80582428,88.34951782,88.03827667,89.52381134,90.0473938,90.99526215,90.0473938,90.38461304,87.14286041,80.47618866,81.42857361,80.95237732,80.47618866,83.33333588,80.95237732,80.6603775
Control of Corruption: Percentile Rank,CC.PER.RNK,China,CHN,NA,NA,NA,NA,NA,NA,48.38709641,NA,45.98930359,NA,49.46808624,NA,35.97883606,43.91534424,33.49753571,32.19512177,37.07316971,32.52427292,36.40776825,36.84210587,33.80952454,36.96682358,41.23222733,45.0236969,46.15384674,47.1428566,47.1428566,46.19047546,45.23809433,43.80952454,52.8571434,56.19047546,55.18867874
Control of Corruption: Percentile Rank,CC.PER.RNK,Colombia,COL,NA,NA,NA,NA,NA,NA,36.55913925,NA,36.36363602,NA,42.55319214,NA,46.56084824,50.79365158,52.21674728,52.19512177,52.19512177,49.02912521,49.51456451,45.45454407,41.42856979,47.39336395,42.18009567,40.28435898,42.78845978,44.76190567,41.90476227,42.38095093,43.33333206,46.19047546,45.7142868,42.38095093,41.03773499
Control of Corruption: Percentile Rank,CC.PER.RNK,Comoros,COM,NA,NA,NA,NA,NA,NA,16.66666603,NA,20.32085609,NA,18.61702156,NA,32.27513123,30.15872955,22.1674881,19.51219559,28.29268265,29.12621307,24.27184486,21.53110123,22.38095284,22.74881554,24.64455032,26.54028511,33.65384674,25.23809433,27.61904716,26.19047546,21.90476227,14.28571415,10.95238113,7.619047642,9.433961868
Control of Corruption: Percentile Rank,CC.PER.RNK,"Congo, Dem. Rep.",COD,NA,NA,NA,NA,NA,NA,0,NA,1.069518685,NA,0.53191489,NA,1.058201075,1.058201075,3.448275805,1.951219559,0.975609779,3.883495092,4.854369164,1.91387558,1.428571463,1.421800971,2.843601942,4.265402794,6.730769157,7.619047642,6.666666508,5.238095284,3.809523821,3.333333254,2.380952358,4.285714149,3.301886797
Control of Corruption: Percentile Rank,CC.PER.RNK,"Congo, Rep.",COG,NA,NA,NA,NA,NA,NA,23.11828041,NA,5.882352829,NA,19.68085098,NA,16.40211678,9.523809433,15.27093601,15.1219511,11.70731735,10.19417477,8.737864494,8.133971214,12.38095284,12.32227516,9.952606201,10.42654037,9.134614944,9.523809433,10.47619057,7.619047642,8.095237732,5.238095284,5.238095284,6.190476418,7.075471878
Control of Corruption: Percentile Rank,CC.PER.RNK,Costa Rica,CRI,NA,NA,NA,NA,NA,NA,75.26881409,NA,77.00534821,NA,74.46808624,NA,70.37036896,72.48677063,63.05418777,65.36585236,70.24390411,71.8446579,71.8446579,73.20574188,72.85713959,72.03791809,72.03791809,70.61611176,75,74.2857132,73.33333588,64.2857132,67.14286041,71.90476227,74.2857132,66.66666412,66.98113251
Control of Corruption: Percentile Rank,CC.PER.RNK,Cote d'Ivoire,CIV,NA,NA,NA,NA,NA,NA,49.4623642,NA,37.96791458,NA,28.72340393,NA,26.45502663,13.22751331,9.852216721,9.268292427,8.780488014,12.13592243,12.62135887,11.96172237,10.95238113,16.587677,21.80094719,25.59241676,42.30769348,39.52381134,33.80952454,36.66666794,34.2857132,31.90476227,32.38095093,40.47618866,42.45283127
Control of Corruption: Percentile Rank,CC.PER.RNK,Croatia,HRV,NA,NA,NA,NA,NA,NA,32.79570007,NA,35.29411697,NA,57.44680786,NA,62.43386078,63.49206161,61.08374405,58.53658676,58.04878235,58.25242615,56.31068039,55.98086166,58.57143021,58.2938385,58.2938385,61.13743973,62.01922989,60.95238113,60.95238113,56.66666794,57.1428566,58.09523773,59.52381134,56.66666794,59.90565872
Control of Corruption: Percentile Rank,CC.PER.RNK,Cuba,CUB,NA,NA,NA,NA,NA,NA,63.44086075,NA,64.17111969,NA,65.95744324,NA,69.31217194,62.43386078,60.59113312,62.92683029,62.92683029,65.04854584,64.56311035,66.50717926,66.19047546,64.45497894,63.98104095,61.6113739,59.13461685,58.09523773,60,62.38095093,59.04761887,57.1428566,48.57143021,54.2857132,52.35848999
Control of Corruption: Percentile Rank,CC.PER.RNK,Curacao,CUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control of Corruption: Percentile Rank,CC.PER.RNK,Cyprus,CYP,NA,NA,NA,NA,NA,NA,87.63440704,NA,81.8181839,NA,83.51063538,NA,83.59788513,84.65608215,79.31034851,79.51219177,82.43902588,82.5242691,83.98058319,77.99043274,80,77.72512054,84.8341217,84.36019135,82.21154022,79.52381134,76.66666412,76.19047546,72.38095093,70.95237732,63.33333206,63.33333206,66.03773499
Control of Corruption: Percentile Rank,CC.PER.RNK,Czechia,CZE,NA,NA,NA,NA,NA,NA,74.73118591,NA,70.05347443,NA,60.63829803,NA,67.72486877,71.42857361,68.47290802,68.78048706,67.80487823,66.99028778,66.01941681,68.89952087,69.04762268,68.72038269,66.35070801,65.40284729,67.30769348,66.19047546,67.14286041,69.04762268,68.57142639,69.04762268,69.04762268,71.90476227,74.52830505
Control of Corruption: Percentile Rank,CC.PER.RNK,Denmark,DNK,NA,NA,NA,NA,NA,NA,100,NA,99.46524048,NA,99.46808624,NA,99.47090149,99.47090149,99.50739288,99.02439117,100,100,100,100,100,100,100,100,100,98.57142639,99.52381134,99.04762268,99.52381134,99.52381134,100,100,100
Control of Corruption: Percentile Rank,CC.PER.RNK,Djibouti,DJI,NA,NA,NA,NA,NA,NA,29.03225899,NA,32.08555984,NA,34.04255295,NA,34.3915329,32.27513123,39.40886688,27.80487823,30.24390221,35.43689346,46.60194016,44.01913834,42.8571434,41.7061615,39.33649445,35.54502487,32.69230652,28.09523773,28.09523773,28.5714283,26.19047546,20.47619057,25.23809433,23.80952454,23.58490562
Control of Corruption: Percentile Rank,CC.PER.RNK,Dominica,DMA,NA,NA,NA,NA,NA,NA,80.10752869,NA,80.74866486,NA,81.38298035,NA,80.42327881,79.36508179,74.87684631,74.63414764,73.65853882,74.27184296,74.27184296,74.64115143,74.2857132,73.4597168,73.4597168,73.93364716,74.03845978,70.95237732,70.95237732,71.90476227,69.52381134,67.61904907,69.52381134,68.57142639,69.3396225
Control of Corruption: Percentile Rank,CC.PER.RNK,Dominican Republic,DOM,NA,NA,NA,NA,NA,NA,41.39785004,NA,29.41176414,NA,32.44680786,NA,39.68254089,28.5714283,32.01970291,28.29268265,27.80487823,24.27184486,26.69902992,22.00956917,20.95238113,21.32701492,19.43128014,20.37914658,22.59615326,20.47619057,22.8571434,23.33333397,22.38095284,23.33333397,25.7142849,30.95238113,37.26415253
Control of Corruption: Percentile Rank,CC.PER.RNK,Ecuador,ECU,NA,NA,NA,NA,NA,NA,30.10752678,NA,28.3422451,NA,27.65957451,NA,23.80952454,29.10052872,27.0935955,25.36585426,24.39024353,26.69902992,31.06796074,24.88038254,26.19047546,28.90995216,36.96682358,37.44075775,27.40384674,29.04761887,28.5714283,30.95238113,29.52380943,34.76190567,33.80952454,30,29.71698189
Control of Corruption: Percentile Rank,CC.PER.RNK,"Egypt, Arab Rep.",EGY,NA,NA,NA,NA,NA,NA,38.70967865,NA,39.03743362,NA,39.36170197,NA,41.26984024,38.09523773,32.51231384,36.09756088,26.34146309,27.18446541,25.24271774,38.75598145,32.38095093,30.33175278,33.64928818,33.64928818,34.61538315,32.8571434,32.38095093,39.04761887,34.76190567,28.5714283,23.80952454,26.66666603,26.41509438
Control of Corruption: Percentile Rank,CC.PER.RNK,El Salvador,SLV,NA,NA,NA,NA,NA,NA,21.50537682,NA,25.6684494,NA,29.78723335,NA,25.92592621,41.79894257,35.96059036,38.53658676,42.92683029,38.83495331,41.26213455,50.23923492,49.52381134,51.18483353,42.65402985,45.49763107,43.26922989,41.42856979,33.33333206,37.1428566,32.38095093,33.80952454,30.95238113,32.8571434,27.83018875
Control of Corruption: Percentile Rank,CC.PER.RNK,Equatorial Guinea,GNQ,NA,NA,NA,NA,NA,NA,6.451612949,NA,6.951871872,NA,6.382978916,NA,5.291005135,5.82010603,5.418719292,2.439024448,4.878048897,7.281553268,8.252427101,7.177033424,7.142857075,8.056872368,9.478672981,5.213270187,2.403846264,1.428571463,1.428571463,0.952380955,2.857142925,2.857142925,4.285714149,3.333333254,2.830188751
Control of Corruption: Percentile Rank,CC.PER.RNK,Eritrea,ERI,NA,NA,NA,NA,NA,NA,72.04301453,NA,69.5187149,NA,69.14893341,NA,60.31745911,58.73015976,51.72413635,47.31707382,42.43902588,39.32038879,42.71844482,37.79904175,35.23809433,29.85782051,25.59241676,20.85308075,19.71153831,6.190476418,8.095237732,10.47619057,9.047618866,7.142857075,8.571428299,9.047618866,8.018867493
Control of Corruption: Percentile Rank,CC.PER.RNK,Estonia,EST,NA,NA,NA,NA,NA,NA,69.89247131,NA,73.26203156,NA,77.65957642,NA,76.19047546,80.95237732,82.75862122,80.97560883,81.46341705,78.64077759,80.09708405,80.38277435,80.47618866,80.56871796,81.5165863,82.93838501,87.9807663,88.57142639,88.09523773,86.66666412,90,90.95237732,92.38095093,90,91.03773499
Control of Corruption: Percentile Rank,CC.PER.RNK,Eswatini,SWZ,NA,NA,NA,NA,NA,NA,58.60214996,NA,56.6844902,NA,55.31914902,NA,55.55555725,58.20105743,49.26108551,48.29268265,55.60975647,56.31068039,58.25242615,58.37320709,56.19047546,53.55450058,51.18483353,51.18483353,50,50.47618866,48.09523773,54.2857132,46.66666794,42.8571434,44.76190567,27.1428566,26.88679314
Control of Corruption: Percentile Rank,CC.PER.RNK,Ethiopia,ETH,NA,NA,NA,NA,NA,NA,18.81720352,NA,24.59893036,NA,22.34042549,NA,31.21693039,25.92592621,26.10837364,23.4146347,30.73170662,30.58252335,30.09708786,25.83732033,28.09523773,27.01421738,32.22748947,37.91469193,40.86538315,39.04761887,40,33.33333206,36.66666794,38.09523773,40.47618866,37.61904907,36.79245377
Control of Corruption: Percentile Rank,CC.PER.RNK,Faroe Islands,FRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control of Corruption: Percentile Rank,CC.PER.RNK,Fiji,FJI,NA,NA,NA,NA,NA,NA,73.65591431,NA,74.3315506,NA,72.34042358,NA,73.54497528,65.07936859,63.54679871,49.75609589,60,59.70873642,59.70873642,53.11004639,53.33333206,60.1895752,63.03317642,63.03317642,65.86538696,64.76190186,64.2857132,72.38095093,75.7142868,74.76190186,71.90476227,65.7142868,64.62264252
Control of Corruption: Percentile Rank,CC.PER.RNK,Finland,FIN,NA,NA,NA,NA,NA,NA,99.4623642,NA,100,NA,100,NA,100,100,100,100,99.51219177,99.51456451,99.02912903,98.56459045,98.09523773,99.05213165,98.10426331,98.10426331,98.55769348,99.52381134,99.04762268,98.57142639,100,98.57142639,99.52381134,99.52381134,99.52830505
Control of Corruption: Percentile Rank,CC.PER.RNK,France,FRA,NA,NA,NA,NA,NA,NA,84.94623566,NA,89.83956909,NA,88.82978821,NA,84.12698364,85.7142868,88.66995239,89.75609589,91.70731354,91.74757385,91.26213837,90.43061829,90.95237732,90.99526215,90.52132416,87.67772675,87.5,87.61904907,89.52381134,87.14286041,87.61904907,88.57142639,83.80952454,89.04762268,85.37735748
Control of Corruption: Percentile Rank,CC.PER.RNK,French Polynesia,PYF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control of Corruption: Percentile Rank,CC.PER.RNK,Gabon,GAB,NA,NA,NA,NA,NA,NA,13.97849464,NA,17.64705849,NA,35.63829803,NA,37.56613922,36.50793839,23.15270996,31.21951294,14.63414669,9.708738327,10.19417477,13.39712906,20,19.9052124,29.85782051,32.22748947,28.84615326,26.19047546,25.7142849,19.52380943,20.95238113,20,20.47619057,20.95238113,16.03773499
Control of Corruption: Percentile Rank,CC.PER.RNK,"Gambia, The",GMB,NA,NA,NA,NA,NA,NA,43.54838562,NA,44.91978455,NA,45.21276474,NA,48.67724991,51.85185242,34.9753685,28.78048706,26.8292675,28.15534019,27.6699028,34.44976044,32.8571434,37.44075775,30.80568695,27.48815155,28.36538506,23.33333397,20,29.52380943,37.1428566,39.52381134,38.09523773,40.95238113,46.22641373
Control of Corruption: Percentile Rank,CC.PER.RNK,Georgia,GEO,NA,NA,NA,NA,NA,NA,1.075268865,NA,19.78609657,NA,13.82978725,NA,4.232804298,31.21693039,37.43842316,50.24390411,58.53658676,53.39805984,53.88349533,54.54545593,57.61904907,61.13743973,68.72038269,69.19431305,77.40384674,75.23809814,75.23809814,76.66666412,76.66666412,76.19047546,70.95237732,74.2857132,72.16981506
Control of Corruption: Percentile Rank,CC.PER.RNK,Germany,DEU,NA,NA,NA,NA,NA,NA,94.08602142,NA,94.65240479,NA,93.0851059,NA,93.12169647,93.12169647,93.59606171,94.14633942,93.17073059,92.23300934,93.20388031,93.30143738,93.33333588,93.3649292,94.31279755,94.31279755,93.75,93.33333588,93.80952454,94.76190186,95.7142868,95.23809814,95.23809814,95.7142868,95.75471497
Control of Corruption: Percentile Rank,CC.PER.RNK,Ghana,GHA,NA,NA,NA,NA,NA,NA,46.23656082,NA,47.05882263,NA,53.19149017,NA,43.91534424,46.03174591,47.29064178,43.90243912,56.09756088,57.76699066,55.82524109,58.85167313,58.09523773,56.39810562,54.9763031,55.45023727,52.40384674,50.95238113,51.90476227,46.66666794,51.42856979,52.38095093,50,50,52.83018875
Control of Corruption: Percentile Rank,CC.PER.RNK,Gibraltar,GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control of Corruption: Percentile Rank,CC.PER.RNK,Greece,GRC,NA,NA,NA,NA,NA,NA,64.51612854,NA,76.47058868,NA,72.87233734,NA,69.84127045,68.7830658,70.44335175,64.87805176,68.78048706,62.62136078,61.65048599,59.80861282,55.7142868,55.45023727,52.60663605,55.92417145,53.36538315,53.80952454,53.33333206,53.33333206,54.76190567,56.66666794,57.1428566,59.52381134,56.60377502
Control of Corruption: Percentile Rank,CC.PER.RNK,Greenland,GRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.21052551,84.2857132,84.36019135,84.36019135,83.88625336,84.13461304,86.66666412,83.33333588,83.33333588,83.33333588,82.85713959,81.42857361,81.90476227,82.07546997
Control of Corruption: Percentile Rank,CC.PER.RNK,Grenada,GRD,NA,NA,NA,NA,NA,NA,80.10752869,NA,80.74866486,NA,81.38298035,NA,80.42327881,79.36508179,74.87684631,74.63414764,74.14633942,70.87378693,66.99028778,69.85646057,70.95237732,70.1421814,69.66824341,68.72038269,64.42308044,68.09523773,67.61904907,65.7142868,65.23809814,63.33333206,63.80952454,67.14286041,67.45282745
Control of Corruption: Percentile Rank,CC.PER.RNK,Guam,GUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.48768616,77.56097412,76.5853653,76.69902802,77.1844635,77.03349304,77.14286041,75.82938385,76.30331421,76.7772522,87.0192337,85.7142868,87.14286041,86.19047546,86.19047546,87.14286041,88.57142639,88.57142639,88.679245
Control of Corruption: Percentile Rank,CC.PER.RNK,Guatemala,GTM,NA,NA,NA,NA,NA,NA,23.65591431,NA,26.20320892,NA,25.53191566,NA,33.33333206,27.51322746,30.04926109,29.26829338,21.46341515,24.75728226,29.61165047,36.36363602,36.19047546,36.01895905,28.90995216,31.7535553,25.96153831,24.2857151,23.33333397,22.8571434,22.8571434,19.04761887,12.85714245,11.90476227,11.320755
Control of Corruption: Percentile Rank,CC.PER.RNK,Guinea,GIN,NA,NA,NA,NA,NA,NA,18.27956963,NA,14.43850231,NA,13.29787254,NA,28.5714283,20.1058197,20.6896553,14.14634132,11.21951199,5.825242519,6.796116352,12.44019127,7.619047642,12.79620838,14.69194317,13.74407578,13.46153831,15.23809528,15.23809528,14.28571415,13.33333302,18.5714283,18.09523773,17.1428566,18.39622688
Control of Corruption: Percentile Rank,CC.PER.RNK,Guinea-Bissau,GNB,NA,NA,NA,NA,NA,NA,8.064516068,NA,12.29946518,NA,21.27659607,NA,11.64021206,8.994709015,7.881773472,12.68292713,13.17073154,8.737864494,7.766990185,7.655502319,11.90476227,10.90047359,5.687203884,3.791469097,1.923076868,2.380952358,2.380952358,1.90476191,2.380952358,4.285714149,7.142857075,7.142857075,11.79245281
Control of Corruption: Percentile Rank,CC.PER.RNK,Guyana,GUY,NA,NA,NA,NA,NA,NA,52.68817139,NA,46.52406311,NA,42.02127838,NA,47.08994675,44.97354507,40.88669968,35.12195206,34.63414764,33.49514389,34.95145798,35.88516617,34.2857132,31.27962112,26.54028511,29.85782051,26.92307663,30,43.33333206,37.61904907,45.7142868,50.47618866,46.66666794,48.57143021,45.28302002
Control of Corruption: Percentile Rank,CC.PER.RNK,Haiti,HTI,NA,NA,NA,NA,NA,NA,9.139784813,NA,9.090909004,NA,7.446808338,NA,0,0,2.46305418,3.414634228,6.341463566,6.310679436,6.310679436,12.91866016,10,6.161137581,9.004739761,11.84834099,8.653845787,10,7.619047642,10,9.523809433,8.571428299,7.619047642,5.238095284,5.188679218
Control of Corruption: Percentile Rank,CC.PER.RNK,Honduras,HND,NA,NA,NA,NA,NA,NA,14.51612949,NA,16.57753944,NA,17.55319214,NA,15.8730154,15.8730154,18.71921158,22.43902397,21.95121956,22.81553459,18.44660187,20.09569359,20.47619057,21.80094719,18.00947952,18.00947952,24.03846169,33.33333206,29.04761887,25.23809433,29.04761887,21.4285717,17.61904716,14.76190472,18.86792374
Control of Corruption: Percentile Rank,CC.PER.RNK,"Hong Kong SAR, China",HKG,NA,NA,NA,NA,NA,NA,89.78494263,NA,86.63101959,NA,85.63829803,NA,91.53439331,92.59259033,94.08866882,93.17073059,93.65853882,93.68932343,94.17475891,94.25836945,94.76190186,94.31279755,93.3649292,91.94313049,91.82691956,91.90476227,91.42857361,91.90476227,91.90476227,91.90476227,92.85713959,94.2857132,92.45282745
Control of Corruption: Percentile Rank,CC.PER.RNK,Hungary,HUN,NA,NA,NA,NA,NA,NA,74.19355011,NA,75.40106964,NA,75.53191376,NA,73.01587677,74.07407379,73.89162445,72.19512177,73.17073059,73.30097198,69.90291595,69.37799072,65.7142868,67.77251434,65.40284729,64.9289093,61.05769348,60,58.57143021,57.61904907,58.09523773,57.61904907,58.09523773,55.23809433,51.41509247
Control of Corruption: Percentile Rank,CC.PER.RNK,Iceland,ISL,NA,NA,NA,NA,NA,NA,93.01074982,NA,94.11764526,NA,98.40425873,NA,97.35449982,98.41269684,98.02955627,99.51219177,97.56097412,97.57281494,99.51456451,95.69377899,94.2857132,94.78672791,94.78672791,95.73459625,94.2307663,95.7142868,95.23809814,94.2857132,94.2857132,92.38095093,94.76190186,95.23809814,91.50943756
Control of Corruption: Percentile Rank,CC.PER.RNK,India,IND,NA,NA,NA,NA,NA,NA,43.01075363,NA,49.73262024,NA,43.61701965,NA,36.50793839,40.74074173,37.93103409,44.87804794,47.31707382,41.26213455,43.68931961,39.23445129,39.04761887,35.54502487,36.4928894,36.96682358,39.90384674,42.8571434,43.80952454,45.7142868,47.61904907,44.76190567,45.23809433,45.23809433,44.3396225
Control of Corruption: Percentile Rank,CC.PER.RNK,Indonesia,IDN,NA,NA,NA,NA,NA,NA,22.04301071,NA,10.69518757,NA,21.80850983,NA,8.465608597,15.34391499,17.73398972,18.53658485,20.48780441,31.06796074,32.52427292,20.57416344,21.90476227,23.69668198,28.4360199,29.38388634,32.21154022,36.66666794,38.09523773,45.23809433,44.2857132,35.23809433,36.66666794,36.66666794,37.73584747
